シフト,,委員長,執行部関係者,,,総務局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企画局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,財務局,,,,,,,,,,,,,,,,,,,,,,渉外局,,,,,,,,,,,,,,,,,,,,,,,制作局,,,,,,,,,,,,,情報局,,,,,,,,,,,,,,,,,,,,,,,,タスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,執行部,前年度執行部,前年度執行部,前年度執行部,総務局長,"来年度執行部
国際交流",国際交流,国際交流,国際交流,参加団体,参加団体,参加団体,参加団体,参加団体,衛生,衛生,衛生,来年度執行部,衛生,衛生,物品,物品,物品,物品,物品,物品,物品,会場電力,会場電力,会場電力,会場電力,,未回答,未回答,未回答,企画局長,"前年度執行部
クイズ","来年度執行部
中夜祭","来年度執行部
カラオケ、小企画",,縁日,縁日,,ヒーローショー,ヒーローショー,ヒーローショー,カラオケ,,,カラオケ,縁日,ビンゴ,ビンゴ,中夜祭,ヒーローショー,ゲーム,ギダイジャー,カラオケ,縁日,ビンゴ,"クイズ、スタンプ
ゲーム",ヒーローショー,中夜祭,ゲーム,縁日,ビンゴ,カラオケ,財務局長,前年度執行部,来年度執行部,局長補佐,ご飯,非営利団体,非営利団体,局長補佐,ご飯,ご飯,ご飯,未回答,,局長補佐,新部門？,ご飯,新部門？,非営利団体,局長補佐,,ご飯,非営利団体,渉外局長,局長代理,局長代理,前年度執行部,"来年度執行部
企業協賛",企業協賛,企業協賛,企業協賛,企業協賛,企業協賛,,ゲスト,ゲスト,ゲスト,ゲスト,ゲスト,広報,広報,広報,広報,地域他大,地域他大,地域他大,"製作局長
来年度執行部",前年度執行部,,,,,,,,,,,前年度執行部,情報局長,来年度執行部,,,,,,,,,,,,,,,,,,,,,,,,,,,,必要,必要,必要,必要,必要,必要,必要,,,,必要,,,,,必要,必要,必要,必要,,,,,,,担当,,担当,,担当,担当,担当,,,担当,担当,担当,,担当,,担当,担当,担当,担当,,担当
,,,,,,,新入生,新入生,部門長,新入生,,新入生,新入生,新入生,部門長,,,新入生,新入生,部門長,新入生,,,新入生,部門長,,,新入生,,新入生,部門長,新入生,新入生,,,,,,新入生,新入生,,,,,,,,,,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,,新入生,新入生,,,,新入生,,,新入生,,,,,,,,,,,,新入生,新入生,新入生,新入生,新入生,新入生,新入生,,,,,,新入生,,,新入生,新入生,,,,,,新入生,新入生,,新入生,新入生,新入生,,新入生,新入生,,,,,,,新入生,新入生,,,,新入生,,,新入生,,,,,,,,,,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,新入生,,新入生,,局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企画,,,,,,財務,,,,,,,,,,,,制作,,情報
,,B4,M1,M1,M1,B4,B3,B3,B2,B1,B3,B3,B3,B3,B2,M2,M1,B3,B3,B2,B1,M1,B4,B3,B3,B2,B2,B1,M1,B3,B2,B1,B3,M2,M1,M1,B4,M1,B3,B3,M2,M1,M1,M1,M1,B4,B4,B4,B4,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B2,B2,B2,B1,B4,M1,B3,M2,M2,M2,M1,M1,M1,M1,B4,M1,B4,B4,B3,B3,B3,B3,B3,B3,B3,B2,B4,B4,B2,M1,B3,M1,B4,B3,B1,B2,M2,M2,M1,B4,B3,B3,M2,B3,B3,B3,M2,B3,B3,B3,M1,M2,M1,M1,B3,B3,B3,B3,B2,B2,B2,M2,B4,B3,M2,M2,M2,M1,B4,B4,B4,B4,B4,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B2,B1,,必要人数,,10,,6,3,3,6,6,6,6,4,,,,6,6,6,10,30,4,2,2,2,2,,4,8,,5,8,14,,6,6,7,6,2,2,2,5,2,,1,,2,2,6,14,,
開始時間,終了時間,市之瀬拓実,中井 温人,小林諒大,市原稜大,橘弥志,笛吹渉,若林優,米井日菜乃,小見健史,前川朔輝,竹田悠真,藤浦大輔,齋藤聡一郎,新井夢叶,杉本真実,人見淳司,武藤遥来,高橋創真,高野萌々香,赤嶺元,善場敦史,秋山祐輝,芹澤洸太,鈴木翔,花園周亮,荒木大洋,田川零樹,小黒柊真,山本力也,竹内友梧,冨田雄平,鴻巣史門,伊藤大登,小林優希,徳力 雅也,黒木康士朗,野上真,新美凱叶,高橋侑矢,氏家諒介,小河原悠介,安達健悟,阿蘇品菜穂,板谷梨世,佐藤直哉,石原 直弥,德岡青樹,植野友喜,伊東裕翔,黄勇太,咲本裕哉,松田僚希,水上健一,成瀬太芽,西森喬太,西川淳史,石田大也,冷水　圭斗,栗城元,池上真司,熊澤　智輝,大川功真,末田　裕大,酒井優,川端　陸希,井上翔一,秋山 大希,鎌田陽介,齋藤博起,志賀亘造,田中日菜,久保田礼花,小林穂乃香,岡田啓汰,岡朋樹,阿部竜大,早田和義,宮本和,東萌々香,落合崇人,石田健,財津奈桜,森愛莉,清水優希,岩本裕太,石川舜,長谷川渉,伊藤大樹,藤岡貫叶,福士舜介,窪坂駿吾,沢口一稀,長島大晟,大川拓都,山田航平,鈴木涼太,中平蒔人,昼間 一記,澤田諒太郎,熊谷優希,岡本忠次,吉川　直樹,阿部悌也,石川優之介,本間耀,山川まいあ,佐藤久遠,木之元優樹,佐藤康,元矢和伸,志原心夏,成田涼,小武壮太,吉川大介,駒津広和,千葉史瑛,西村碧唯,榑林丈,大久保颯斗,谷本百合香,司東来珠,松浦朱里,戸川元気,富山廉馬,藤崎　竜成,原田典,若月耕紀,安田巴,大浦翼,百々優志郎,鵜澤匠宏,佐藤昌信,廣池将伍,二川倫,福光春那,今井俊希,秋山峰,伊藤陽登,出町悠資,小野寺陵希,青木悠悟,長谷川虹,栗原洸太,山田　圭祐,飯田 庸介,髙須賀　匠,花田光,高山悠斗,,タスク名,休憩,院講待機,院講管理,"案内所
準備",案内所講義棟,案内所プール,"案内所
片付け",調理場管理,"調理場テント
片付け、撤収","ごみ箱
テント準備",駐車場管理,"福利棟前
ゴミ箱管理","物質・材料棟前
ゴミ箱管理","機械棟前
ゴミ箱管理","ごみ箱テント
片付け","地域他大テント
片付け","休憩所
片付け",物品片付け,配線片付け,カメラ巡回,屋内巡回,屋外巡回,"ゴミコンテナ
待機",ギダイジャー巡回,閉会式運営,音響テント待機,縁日,縁日片付け,ゲーム大会,カラオケ大会運営,ヒーローショー,ビンゴ大会運営,ビンゴ受付,共通テスト運営,気配切り運営,"朝ご飯準備・
管理・片付け","業者向け
ケータリング","企業ブース
ケータリング","夜ケータリング
受け渡し","夜ご飯準備・
管理・片付け","ユニフォーム
洗濯",,"音響業者の
臨時対応","音響機材片付け
手伝い","企業ブースの
見張り","企業ブース
お迎え","企業ブース終演後の
物品撤去の手伝い","会場装飾
立ち上げ","会場装飾
立ち下げ","Bingoアプリ
運営"
6:00,6:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:30,7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,,,,,"朝ご飯準備・
管理・片付け",,"朝ご飯準備・
管理・片付け",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
7:00,7:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,,,,,"朝ご飯準備・
管理・片付け",,"朝ご飯準備・
管理・片付け",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
7:30,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,,,,,"朝ご飯準備・
管理・片付け",,"朝ご飯準備・
管理・片付け",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
8:00,8:30,朝食,朝食,朝食,朝食,朝食,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,開店チェック,開店チェック,開店チェック,調理場管理,調理場管理,調理場管理,調理場管理,調理場管理,開店チェック,,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,,,,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,"朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け","朝ご飯準備・
管理・片付け",,,"朝ご飯準備・
管理・片付け",,朝食,"朝ご飯準備・
管理・片付け",,朝食,,朝食,朝食,"朝ご飯準備・
管理・片付け",朝食,"朝ご飯準備・
管理・片付け",朝食,朝食,朝食,朝食,朝食,,朝食,朝食,"音響業者の
臨時対応",,朝食,,朝食,朝食,,朝食,朝食,朝食,,朝食,,朝食,朝食,朝食,朝食,,,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,朝食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,
8:30,9:00,MT,MT,MT,MT,MT,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,開店チェック,開店チェック,開店チェック,調理場管理,調理場管理,調理場管理,調理場管理,調理場管理,開店チェック,,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,,,,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,,,MT,,MT,MT,,MT,,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,,MT,MT,"音響業者の
臨時対応",,MT,,MT,MT,,MT,MT,MT,,MT,,MT,MT,MT,MT,,,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9:00,9:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,開店チェック,開店チェック,開店チェック,調理場管理,調理場管理,調理場管理,調理場管理,調理場管理,開店チェック,,開店チェック,物品対応,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,,,,音響テント待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,"案内所
準備",院講待機,,,院講待機,,院講待機,院講待機,,"ゴミコンテナ
待機",,屋内巡回,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,,院講待機,院講待機,"音響業者の
臨時対応",,"企業ブース
お迎え",,調理場管理,"企業ブース
お迎え",,院講待機,院講待機,"案内所
準備",,院講待機,,院講待機,院講待機,"案内所
準備",カメラ巡回,,,カメラ巡回,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講管理,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,"ごみ箱
テント準備",屋外巡回,カメラ巡回,"ごみ箱
テント準備",カメラ巡回,"案内所
準備","ごみ箱
テント準備","ごみ箱
テント準備",院講待機,屋内巡回,"ごみ箱
テント準備","ゴミコンテナ
待機","ごみ箱
テント準備",屋外巡回,"案内所
準備","案内所
準備",,,0,65,1,6,,,,6,,6,,,,,,,,,,4,0,0,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9:30,10:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,開店チェック,開店チェック,開店チェック,調理場管理,調理場管理,調理場管理,調理場管理,調理場管理,開店チェック,,開店チェック,物品対応,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,,,,音響テント待機,ヒーローショー,院講待機,縁日,ヒーローショー,院講待機,ヒーローショー,ヒーローショー,ヒーローショー,院講待機,ヒーローショー,ヒーローショー,ヒーローショー,院講待機,院講待機,院講待機,縁日,ヒーローショー,院講待機,ヒーローショー,縁日,ヒーローショー,院講待機,院講待機,ヒーローショー,縁日,ヒーローショー,院講待機,院講待機,ヒーローショー,院講待機,院講待機,院講待機,"案内所
準備",院講待機,,,院講待機,,院講待機,院講待機,,"ゴミコンテナ
待機",,屋内巡回,院講待機,院講待機,,縁日,院講待機,院講待機,縁日,院講待機,院講待機,,院講待機,院講待機,"音響業者の
臨時対応",,"企業ブース
お迎え",,調理場管理,"企業ブース
お迎え",,"企業ブース開催
事前準備","企業ブース開催
事前準備","案内所
準備",,縁日,,縁日,院講待機,"案内所
準備",カメラ巡回,,,カメラ巡回,"会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ","会場装飾
立ち上げ",院講管理,開店チェック,開店チェック,開店チェック,開店チェック,開店チェック,,開店チェック,"ごみ箱
テント準備",屋外巡回,カメラ巡回,"ごみ箱
テント準備",カメラ巡回,"案内所
準備","ごみ箱
テント準備","ごみ箱
テント準備",院講待機,屋内巡回,"ごみ箱
テント準備","ゴミコンテナ
待機","ごみ箱
テント準備",屋外巡回,"案内所
準備","案内所
準備",,,0,28,1,6,,,,6,,6,,,,,,,,,,4,0,0,2,,,,8,,,,14,,,,,,,,,,,,1,,,2,,12,,
10:00,10:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,衛生対応,衛生対応,衛生対応,衛生対応,調理場管理,,物品対応,物品対応,調理場管理,物品対応,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,ヒーローショー,音響テント待機,縁日,ヒーローショー,休憩,ヒーローショー,ヒーローショー,ヒーローショー,共通テスト運営,ヒーローショー,ヒーローショー,ヒーローショー,休憩,音響テント待機,共通テスト運営,縁日,ヒーローショー,共通テスト運営,ヒーローショー,縁日,ヒーローショー,音響テント待機,院講待機,ヒーローショー,縁日,ヒーローショー,共通テスト運営,共通テスト運営,ヒーローショー,共通テスト運営,音響テント待機,院講待機,案内所講義棟,院講待機,,,屋外巡回,,院講待機,院講待機,,院講待機,,院講待機,屋内巡回,屋内巡回,,縁日,休憩,カメラ巡回,縁日,カメラ巡回,院講待機,,"企業ブース
見張り","企業ブース
見張り","音響業者の
臨時対応",駐車場管理,"ゴミコンテナ
待機",,調理場管理,院講待機,,"企業ブース開催
事前準備","企業ブース開催
事前準備",院講待機,,縁日,,縁日,駐車場管理,案内所プール,院講待機,,吹奏楽,院講待機,院講待機,院講待機,院講待機,院講待機,カメラ巡回,院講待機,院講待機,院講待機,院講待機,"ゴミコンテナ
待機",院講待機,休憩,院講管理,駐車場管理,院講待機,駐車場管理,カメラ巡回,院講待機,,屋外巡回,"機械棟前
ゴミ箱管理",案内所プール,調理場管理,"機械棟前
ゴミ箱管理",院講待機,案内所講義棟,"福利棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",屋内巡回,院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,案内所プール,案内所講義棟,,,4,27,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,5,8,,,,14,,,6,,,,,,,,,1,,,2,,,,
10:30,11:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,衛生対応,衛生対応,衛生対応,衛生対応,調理場管理,,物品対応,物品対応,調理場管理,物品対応,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,ヒーローショー,音響テント待機,縁日,ヒーローショー,休憩,ヒーローショー,ヒーローショー,ヒーローショー,共通テスト運営,ヒーローショー,ヒーローショー,ヒーローショー,休憩,音響テント待機,共通テスト運営,縁日,ヒーローショー,共通テスト運営,ヒーローショー,休憩,ヒーローショー,音響テント待機,院講待機,ヒーローショー,縁日,ヒーローショー,共通テスト運営,共通テスト運営,吹奏楽,共通テスト運営,音響テント待機,院講待機,案内所講義棟,院講待機,,,屋外巡回,,院講待機,院講待機,,院講待機,,院講待機,屋内巡回,屋内巡回,,縁日,休憩,カメラ巡回,縁日,カメラ巡回,院講待機,,"企業ブース
見張り","企業ブース
見張り","音響業者の
臨時対応",駐車場管理,"ゴミコンテナ
待機",,調理場管理,休憩,,"企業ブース開催
事前準備","企業ブース開催
事前準備",院講待機,,縁日,,縁日,駐車場管理,案内所プール,院講待機,,吹奏楽,院講待機,院講待機,院講待機,院講待機,院講待機,カメラ巡回,院講待機,院講待機,院講待機,縁日,"ゴミコンテナ
待機",院講待機,休憩,院講管理,駐車場管理,院講待機,駐車場管理,カメラ巡回,院講待機,,屋外巡回,"機械棟前
ゴミ箱管理",案内所プール,調理場管理,"機械棟前
ゴミ箱管理",院講待機,案内所講義棟,"福利棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",屋内巡回,院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,案内所プール,案内所講義棟,,,6,25,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,5,8,,,,13,,,6,,,,,,,,,1,,,2,,,,
11:00,11:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,調理場管理,衛生対応,衛生対応,衛生対応,衛生対応,調理場管理,,物品対応,物品対応,調理場管理,,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,ヒーローショー,音響テント待機,縁日,ヒーローショー,縁日,ヒーローショー,ヒーローショー,ヒーローショー,共通テスト運営,ヒーローショー,ヒーローショー,ヒーローショー,音響テント待機,休憩,共通テスト運営,縁日,ヒーローショー,共通テスト運営,ヒーローショー,休憩,ヒーローショー,休憩,音響テント待機,ヒーローショー,縁日,ヒーローショー,共通テスト運営,共通テスト運営,吹奏楽,共通テスト運営,院講待機,休憩,案内所講義棟,"業者向け
ケータリング",,,休憩,,休憩,"業者向け
ケータリング",,縁日,,"ゴミコンテナ
待機",カメラ巡回,休憩,,休憩,院講待機,休憩,縁日,屋外巡回,カメラ巡回,,"企業ブース
見張り","企業ブース
見張り","音響業者の
臨時対応",休憩,院講待機,,駐車場管理,休憩,,縁日,院講待機,駐車場管理,,休憩,,縁日,休憩,院講待機,"ゴミコンテナ
待機",,吹奏楽,休憩,"物質・材料棟前
ゴミ箱管理",屋内巡回,"機械棟前
ゴミ箱管理",休憩,休憩,屋外巡回,カメラ巡回,吹奏楽,縁日,屋内巡回,案内所プール,案内所講義棟,院講管理,駐車場管理,"機械棟前
ゴミ箱管理",駐車場管理,"物質・材料棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",,休憩,休憩,案内所プール,調理場管理,院講待機,"福利棟前
ゴミ箱管理",休憩,案内所プール,休憩,院講待機,案内所講義棟,しゅがく,院講待機,休憩,カメラ巡回,休憩,休憩,,,23,8,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,4,9,,,,13,,,6,,,2,,,,,,1,,2,,,,,
